,count,mean,std,min,25%,50%,75%,max
brent,34.0,55.21412811123674,31.825473318694844,12.75810276679842,24.590103608758678,54.34967860834144,77.81737333333334,111.57068273092369
nominal_usd_rub,34.0,38.01873744493167,26.634882715846953,0.3097142857142857,25.04292758188431,30.532185348247147,62.41965100163081,92.88376194956554
ppp_basket_usd_rub,34.0,15.741828242694867,9.693141715023078,0.0181187619490837,7.88485475,15.5075095,25.446098327636697,30.7531677427568
basket_real_usd_rub,34.0,2.9533755867871396,2.6313827879455927,1.4844032422712237,1.8611992524715815,2.43809126735765,3.0414317658564634,17.09356779368408
log_brent,34.0,3.812513736645751,0.6792526877329256,2.546166580874202,3.202299592904964,3.9954301404915418,4.353543212493596,4.714658315891946
log_basket_real_usd_rub,34.0,0.9376641982678491,0.448167983224161,0.39501283443206264,0.6204107131857103,0.8912051259441922,1.1117305122822565,2.838702240329413
dlog_brent,33.0,0.038637727436029896,0.27994857142981044,-0.6375000500514174,-0.12712471544273418,0.021741855517389386,0.2760945127956691,0.5239889172938006
dlog_basket_real_usd_rub,33.0,-0.05565056986074755,0.2672905921994363,-1.1024555675066745,-0.12433800918187643,-0.053886239164494976,0.07056688922462695,0.38175014674004015
dlog_brent_lag1,32.0,0.044606307824362784,0.28228672174634384,-0.6375000500514174,-0.1096445117075252,0.04615730147516084,0.2776355712975983,0.5239889172938006
dlog_basket_real_usd_rub_lag1,32.0,-0.0523864554814181,0.27089846033897896,-1.1024555675066745,-0.11693706009961463,-0.0526314726219862,0.07116585360011468,0.38175014674004015
dummy_1998_crisis,34.0,0.029411764705882353,0.17149858514250882,0.0,0.0,0.0,0.0,1.0
dummy_2014_2015_shock,34.0,0.058823529411764705,0.23883257361061286,0.0,0.0,0.0,0.0,1.0
dummy_2022_plus,34.0,0.11764705882352941,0.3270349700838643,0.0,0.0,0.0,0.0,1.0
