model,equation,r_squared,adj_r_squared,aic,bic,n_obs,durbin_watson,ljung_box_pvalue_lag1
model_5,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1 + phi * dlog_basket_real_usd_rub_lag1 + crisis_dummies,0.6978502548140556,0.6253343159694289,-39.74646218047346,-29.48631086087537,32,2.242007103058247,0.3409832706749943
model_4,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1 + phi * dlog_basket_real_usd_rub_lag1,0.6097965427363207,0.5679890294580693,-37.56260461523257,-31.699661004033665,32,1.7400612535952102,0.6859039524300091
model_3,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1,0.14983695218073034,0.09120501784836699,-14.64228897785,-10.245081269450822,32,0.7511085396219691,0.009922770355269693
model_2,dlog_basket_real_usd_rub = const + beta * dlog_brent,0.03650845086158572,0.005428078308733708,8.325512664057811,11.31852778699077,33,0.49198146291187295,0.0034829823855434534
model_1,log_basket_real_usd_rub = const + beta * log_brent,0.24735055426415153,0.22383025908490628,35.23559911367523,38.28832016290755,34,0.46443556503240996,0.0023233289461753737
