,brent,nominal_usd_rub,ppp_basket_usd_rub,basket_real_usd_rub,log_brent,log_basket_real_usd_rub,dlog_brent,dlog_basket_real_usd_rub,dlog_brent_lag1,dlog_basket_real_usd_rub_lag1,dummy_1998_crisis,dummy_2014_2015_shock,dummy_2022_plus
brent,1.0,0.4781187229611505,0.714118850990354,-0.34799944652098913,0.9675003531197415,-0.5123195155058926,0.17103315728106291,0.2071872993774183,0.22627202894381812,0.2002545417067137,-0.23571649851404566,0.1628897143849678,0.32676699633737794
nominal_usd_rub,0.4781187229611505,1.0,0.930574677970777,-0.22475869394487677,0.598851530218543,-0.09062859956653271,-0.11613392300844323,0.40975397531784236,-0.1225183925451559,0.4968869605367506,-0.18792064599344377,0.11346669858533213,0.6263539074030153
ppp_basket_usd_rub,0.714118850990354,0.930574677970777,1.0,-0.34224965691473397,0.8098241735950343,-0.31795653276011865,-0.09107340628723389,0.42110602258513663,-0.06940789392485824,0.4771449531885756,-0.21482178324634096,0.21400823711226769,0.49269325240684236
basket_real_usd_rub,-0.34799944652098913,-0.22475869394487677,-0.34224965691473397,1.0,-0.36286134098013867,0.9139922400420479,-0.07994047875118394,-0.4039969771180403,-0.16658051302239962,0.18108418839465565,-0.03385649056202498,-0.08542053564950652,-0.007493357657234218
log_brent,0.9675003531197415,0.598851530218543,0.8098241735950343,-0.36286134098013867,1.0,-0.49734349725732974,0.16146844239532168,0.25806861411872506,0.2040090037644706,0.2986111024329983,-0.32941770132894366,0.17317564438289357,0.3276416116413491
log_basket_real_usd_rub,-0.5123195155058926,-0.09062859956653271,-0.31795653276011865,0.9139922400420479,-0.49734349725732974,1.0,-0.09134598840962653,-0.2780275716264262,-0.17806913262403964,0.16770042653872075,-0.016524139288875413,-0.12827094243094794,0.10184851612201583
dlog_brent,0.17103315728106291,-0.11613392300844323,-0.09107340628723389,-0.07994047875118394,0.16146844239532168,-0.09134598840962653,1.0,-0.19107184738099342,0.05013697317013153,0.05198307748931827,-0.28382123516140034,-0.37187725305616154,-0.06029411853908246
dlog_basket_real_usd_rub,0.2071872993774183,0.40975397531784236,0.42110602258513663,-0.4039969771180403,0.25806861411872506,-0.2780275716264262,-0.19107184738099342,1.0,-0.11111070780186817,0.6622829352269194,0.25742750951896437,0.2907509046055122,0.061169205183988114
dlog_brent_lag1,0.22627202894381812,-0.1225183925451559,-0.06940789392485824,-0.16658051302239962,0.2040090037644706,-0.17806913262403964,0.05013697317013153,-0.11111070780186817,1.0,-0.20167516014074677,-0.07866691279446503,-0.09713933809775074,0.16101659081895425
dlog_basket_real_usd_rub_lag1,0.2002545417067137,0.4968869605367506,0.4771449531885756,0.18108418839465565,0.2986111024329983,0.16770042653872075,0.05198307748931827,0.6622829352269194,-0.20167516014074677,1.0,0.021543447151705267,0.09264065791928905,0.1142067109936267
dummy_1998_crisis,-0.23571649851404566,-0.18792064599344377,-0.21482178324634096,-0.03385649056202498,-0.32941770132894366,-0.016524139288875413,-0.28382123516140034,0.25742750951896437,-0.07866691279446503,0.021543447151705267,1.0,-0.043519413988924456,-0.06356417261637282
dummy_2014_2015_shock,0.1628897143849678,0.11346669858533213,0.21400823711226769,-0.08542053564950652,0.17317564438289357,-0.12827094243094794,-0.37187725305616154,0.2907509046055122,-0.09713933809775074,0.09264065791928905,-0.043519413988924456,1.0,-0.09128709291752768
dummy_2022_plus,0.32676699633737794,0.6263539074030153,0.49269325240684236,-0.007493357657234218,0.3276416116413491,0.10184851612201583,-0.06029411853908246,0.061169205183988114,0.16101659081895425,0.1142067109936267,-0.06356417261637282,-0.09128709291752768,1.0
