model,equation,parameter,coef,std_err,t_stat,p_value,hac_std_err,hac_t_stat,hac_p_value,r_squared,adj_r_squared,aic,bic,n_obs,durbin_watson,ljung_box_pvalue_lag1
model_1,log_basket_real_usd_rub = const + beta * log_brent,const,2.1887218490823503,0.39167993487338487,5.588036695803374,3.588731398493729e-06,0.6308821920435637,3.469303582642914,0.0015130884554030257,0.24735055426415153,0.22383025908490628,35.23559911367523,38.28832016290755,34,0.46443556503240996,0.0023233289461753737
model_1,log_basket_real_usd_rub = const + beta * log_brent,log_brent,-0.3281450867414267,0.1011884272940653,-3.2429112252906056,0.0027665204987461396,0.15066620431936678,-2.1779607989981504,0.03689057694330209,0.24735055426415153,0.22383025908490628,35.23559911367523,38.28832016290755,34,0.46443556503240996,0.0023233289461753737
model_2,dlog_basket_real_usd_rub = const + beta * dlog_brent,const,-0.048601794101975536,0.046856418601360104,-1.0372494431438422,0.30764312779168107,0.05794065333784431,-0.8388202635304245,0.40799209802410474,0.03650845086158572,0.005428078308733708,8.325512664057811,11.31852778699077,33,0.49198146291187295,0.0034829823855434534
model_2,dlog_basket_real_usd_rub = const + beta * dlog_brent,dlog_brent,-0.18243246242787434,0.16832496216935647,-1.0838111001285948,0.28680634437058405,0.15146318114988447,-1.2044673896512406,0.23752464443483204,0.03650845086158572,0.005428078308733708,8.325512664057811,11.31852778699077,33,0.49198146291187295,0.0034829823855434534
model_3,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1,const,-0.0090066081580906,0.03331947276923712,-0.2703106444831304,0.7888357435777781,0.04058035431509015,-0.22194503498313264,0.8259122506056081,0.14983695218073034,0.09120501784836699,-14.64228897785,-10.245081269450822,32,0.7511085396219691,0.009922770355269693
model_3,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1,dlog_brent,-0.25351849650334685,0.11706418760495824,-2.165636662160624,0.038702547209844014,0.10740126605438567,-2.3604795903892843,0.025190109729753836,0.14983695218073034,0.09120501784836699,-14.64228897785,-10.245081269450822,32,0.7511085396219691,0.009922770355269693
model_3,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1,dlog_brent_lag1,-0.06327987969701655,0.11728394040498079,-0.5395442843965805,0.5936302849943363,0.10403729741775203,-0.6082422483825404,0.5477614816301667,0.14983695218073034,0.09120501784836699,-14.64228897785,-10.245081269450822,32,0.7511085396219691,0.009922770355269693
model_4,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1 + phi * dlog_basket_real_usd_rub_lag1,const,0.01386121388507481,0.023315019003830664,0.5945186612456721,0.5569392134220116,0.026170557676843117,0.5296491598014296,0.6005300669152327,0.6097965427363207,0.5679890294580693,-37.56260461523257,-31.699661004033665,32,1.7400612535952102,0.6859039524300091
model_4,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1 + phi * dlog_basket_real_usd_rub_lag1,dlog_brent,-0.2830118752244243,0.0808751700593965,-3.4993666785068167,0.0015790706276237899,0.06574944991884006,-4.304399132977828,0.00018488422851233483,0.6097965427363207,0.5679890294580693,-37.56260461523257,-31.699661004033665,32,1.7400612535952102,0.6859039524300091
model_4,dlog_basket_real_usd_rub = const + beta1 * dlog_brent + beta2 * dlog_brent_lag1 + phi * dlog_basket_real_usd_rub_lag1,dlog_brent_lag1,0.033931043450754796,0.08261497168857303,0.41071300706440844,0.6844092138297333,0.09710123865337114,0.3494398621616016,0.7293736446325023,0.6097965427363207,0.5679890294580693,-37.56260461523257,-31.699661004033665,32,1.7400612535952102,0.6859039524300091
